date,Exxon
2013-08-03,20.67
2013-08-04,23.400000000000002
2013-08-05,26.52
2013-08-06,25.740000000000002
2013-08-07,23.400000000000002
2013-08-08,23.01
2013-08-09,26.91
2013-08-10,23.79
2013-08-11,22.23
2013-08-12,22.62
2013-08-13,28.86
2013-08-14,23.01
2013-08-15,33.54
2013-08-16,26.91
2013-08-17,17.16
2013-08-18,15.600000000000001
2013-08-19,25.740000000000002
2013-08-20,27.3
2013-08-21,25.35
2013-08-22,27.69
2013-08-23,24.96
2013-08-24,21.84
2013-08-25,25.740000000000002
2013-08-26,23.400000000000002
2013-08-27,24.18
2013-08-28,22.23
2013-08-29,28.470000000000002
2013-08-30,30.810000000000002
2013-08-31,20.67
2013-09-01,23.200000000000003
2013-09-02,28.0
2013-09-03,27.6
2013-09-04,31.200000000000003
2013-09-05,31.6
2013-09-06,37.6
2013-09-07,26.0
2013-09-08,23.200000000000003
2013-09-09,33.2
2013-09-10,28.0
2013-09-11,34.0
2013-09-12,35.2
2013-09-13,33.6
2013-09-14,22.8
2013-09-15,20.0
2013-09-16,38.0
2013-09-17,34.0
2013-09-18,33.2
2013-09-19,36.0
2013-09-20,32.0
2013-09-21,30.400000000000002
2013-09-22,23.6
2013-09-23,35.6
2013-09-24,34.4
2013-09-25,32.4
2013-09-26,35.6
2013-09-27,40.0
2013-09-28,30.0
2013-09-29,22.400000000000002
2013-09-30,30.400000000000002
2013-10-01,38.64
2013-10-02,28.98
2013-10-03,29.82
2013-10-04,32.76
2013-10-05,24.779999999999998
2013-10-06,27.3
2013-10-07,37.379999999999995
2013-10-08,29.82
2013-10-09,40.32
2013-10-10,33.18
2013-10-11,34.019999999999996
2013-10-12,24.779999999999998
2013-10-13,23.099999999999998
2013-10-14,24.36
2013-10-15,42.0
2013-10-16,28.56
2013-10-17,38.22
2013-10-18,32.339999999999996
2013-10-19,23.939999999999998
2013-10-20,20.58
2013-10-21,34.019999999999996
2013-10-22,22.68
2013-10-23,33.6
2013-10-24,36.54
2013-10-25,29.82
2013-10-26,21.84
2013-10-27,20.16
2013-10-28,33.6
2013-10-29,30.66
2013-10-30,29.82
2013-10-31,33.18
2013-11-01,24.08
2013-11-02,19.35
2013-11-03,25.37
2013-11-04,29.669999999999998
2013-11-05,28.38
2013-11-06,27.95
2013-11-07,24.94
2013-11-08,23.65
