,Microsoft,Apple,Amazon,Google,Facebook,Johnson & Johnson,Walmart,Procter & Gamble,JPMorgan Chase,UnitedHealth Group,Intel,Verizon,AT&T,The Home Depot,Merck,Pfizer,CocaCola,Bank of America,Netflix,Pepsi,Disney,Cisco,NVIDIA,Exxon,Abbott Laboratories,Oracle,Comcast,Adobe,Chevron,Eli Lilly,Covid-19,Pandemic,presidential election,Lockdown,Face masks,Coronavirus,Quarantine,EDD,sba loans,unemployment check,swine flu,flu,zika
2011-02-14,85.44,25.2,25.42,43.24,67.14999999999999,45.14,30.03,36.72,47.79,63.14,77.22,63.9,60.06,14.76,73.0,26.0,10.07,64.6,42.16,9.3,31.05,85.0,69.0,27.73,15.2,75.33,67.22999999999999,87.3,23.94,55.0,0.0,1.28,0.75,0.34,0.38,0.0,0.7000000000000001,8.97,1.6,0.94,2.64,10.08,0.0
2011-02-15,88.32,24.6,26.35,44.65,69.7,74.0,28.47,36.0,53.69,62.37000000000001,76.23,59.4,60.72000000000001,10.8,77.0,36.4,29.15,68.85,42.16,8.7,31.5,89.0,72.68,45.12,22.42,88.35000000000002,70.55,92.15,38.0,43.0,0.0,1.14,0.79,0.59,0.5700000000000001,0.0,0.49,13.0,1.85,1.66,4.8599999999999985,10.8,0.0
2011-02-16,92.16,24.6,26.66,45.59,69.7,61.42,28.08,36.0,46.02,77.0,81.17999999999998,56.7,58.08000000000001,18.0,65.0,35.1,48.76000000000001,66.3,40.12000000000001,10.5,31.95,89.0,92.0,36.19,17.86,93.0,73.86999999999998,91.18,38.0,48.0,0.0,1.46,0.73,0.7000000000000001,0.5700000000000001,0.0,0.75,9.75,3.1500000000000004,1.82,3.24,12.0,0.0
2011-02-17,85.44,24.6,25.42,45.59,69.7,63.64,29.64,48.24,44.25,23.87,80.19,56.7,59.40000000000001,11.16,72.0,33.800000000000004,19.61,63.75,40.12000000000001,10.2,31.05,93.0,79.12,43.24,18.24,84.63000000000002,73.86999999999998,91.18,25.08,66.0,0.0,1.4,1.0,0.76,0.58,0.0,0.27,7.54,1.6,0.74,4.26,11.16,0.0
2011-02-18,79.67999999999998,25.2,25.11,44.18,70.55,67.34,30.03,38.16,46.02,73.92,81.17999999999998,59.4,55.44000000000001,16.56,69.0,37.05,25.97,69.7,44.2,8.4,32.85,82.0,76.36,31.49,14.06,76.26,73.03999999999998,95.06,30.4,68.0,0.0,2.0,0.72,0.65,0.53,0.0,0.51,8.58,1.65,0.96,3.6,10.8,0.0
2011-02-19,64.32,27.6,29.76,41.83,79.89999999999998,29.6,36.66,31.68,25.96,20.02,91.08,58.5,62.7,16.2,46.0,14.95,25.44,61.2,63.24,6.9,43.2,42.0,79.12,31.96,23.56,33.480000000000004,81.33999999999997,90.21,18.62,49.0,0.0,1.4,0.48,0.56,0.91,0.0,0.7000000000000001,8.32,2.0500000000000003,1.42,3.42,9.24,0.0
2011-02-20,69.12,27.0,29.76,39.48,79.89999999999998,31.82,35.88,31.68,26.55,20.79,82.17,54.0,58.08000000000001,16.56,48.0,17.55,12.72,45.05,65.28,7.199999999999998,43.2,44.0,90.16,26.32,17.48,33.480000000000004,75.53,79.53999999999998,19.38,36.0,0.0,1.32,0.52,0.36,0.67,0.0,0.5700000000000001,7.9300000000000015,1.05,0.72,1.74,9.96,0.0
2011-02-21,82.56,25.5,28.52,40.42,70.55,42.18,31.98,63.36,56.05,56.98,75.24,54.9,58.74,16.38,54.0,30.55,31.270000000000003,54.4,53.040000000000006,8.1,40.5,64.0,69.0,31.96,22.04,66.96000000000001,76.36,85.36,24.32,51.0,0.0,1.54,0.59,0.48,1.0,0.0,0.9,7.0200000000000005,1.65,1.54,4.14,9.48,0.0
2011-02-22,86.39999999999998,25.2,27.9,42.77,67.14999999999999,55.5,27.69,36.0,23.01,30.8,77.22,54.9,59.40000000000001,16.38,100.0,29.9,19.61,62.05,44.2,7.199999999999998,33.75,85.0,77.28,40.42,20.9,77.19,73.86999999999998,92.15,29.26,70.0,0.0,1.16,0.71,0.47,0.5,0.0,0.64,8.32,2.6,1.1,2.34,9.84,0.0
2011-02-23,88.32,25.5,27.28,42.77,68.0,52.54,27.69,72.0,43.07,53.9,80.19,53.1,60.06,11.52,68.0,32.5,24.380000000000006,64.6,43.52,8.7,33.300000000000004,93.0,75.44,46.53,30.02,85.56,63.91,89.24,34.58,38.0,0.0,1.48,0.71,0.54,0.63,0.0,0.7000000000000001,8.97,1.05,0.54,3.24,9.48,0.0
2011-02-24,84.47999999999998,29.7,25.73,43.24,68.85,45.88,28.08,23.76,33.04,69.3,90.09,54.0,55.44000000000001,14.4,56.0,31.85,19.08,61.2,41.48,8.7,32.85,86.0,82.8,44.65,14.82,88.35000000000002,73.86999999999998,95.06,30.4,64.0,0.0,1.4,0.88,0.74,0.5,0.0,0.75,9.62,1.85,2.0,2.88,9.24,0.0
2011-02-25,86.39999999999998,28.2,26.35,42.77,71.39999999999998,51.06,29.25,61.92,24.19,40.04,86.13,56.7,58.74,12.96,64.0,33.800000000000004,10.07,70.55,44.2,6.3,32.4,80.0,83.72,47.0,23.18,83.7,72.21,89.24,32.68,90.0,0.0,1.2,0.48,0.61,0.78,0.0,1.0,8.32,1.65,0.94,3.24,9.0,0.0
2011-02-26,68.16,30.0,29.14,40.42,80.75,54.76,35.1,30.96,17.11,0.0,74.25,56.7,58.74,15.66,56.0,17.55,12.72,66.3,65.28,7.199999999999998,42.3,47.0,89.24000000000002,28.2,11.78,39.06,75.53,82.45,20.52,21.0,0.0,0.86,0.41,0.41,0.65,0.0,0.28,6.63,2.0500000000000003,0.94,2.52,8.04,0.0
2011-02-27,74.88,28.5,30.07,39.48,79.05,34.78,35.49,30.96,30.09,50.05,84.15,51.3,53.46,16.919999999999998,40.0,20.15,12.72,48.45,68.0,7.199999999999998,45.0,43.0,91.08,29.61,19.38,32.550000000000004,70.55,86.33,19.76,70.0,0.0,1.52,0.48,0.47,0.8200000000000001,0.0,0.49,6.11,1.7000000000000002,1.88,3.24,8.04,0.0
2011-02-28,81.6,24.9,26.04,41.83,65.45,55.5,28.08,47.52,59.0,30.8,81.17999999999998,53.1,58.08000000000001,16.74,81.0,24.7,19.08,85.0,46.92,7.8,31.05,77.0,73.60000000000002,39.01,17.48,75.33,72.21,90.21,27.36,58.0,0.0,0.98,0.79,0.55,0.56,0.0,0.68,7.41,3.35,0.9,2.46,9.48,0.0
2011-03-01,91.08,16.919999999999998,24.6,43.86,66.4,53.9,29.88,66.64,42.88,48.0,91.0,70.84,31.82,13.68,73.60000000000002,51.48,25.85,86.0,41.3,17.16,31.05,92.07,72.0,37.23,11.55,94.0,80.36,97.0,38.0,61.06,0.0,1.3,0.52,1.0,0.33,0.0,0.63,10.2,2.36,0.54,3.96,6.65,0.0
2011-03-02,92.0,36.0,23.4,45.9,66.4,70.07000000000001,27.72,25.16,35.84,34.4,85.54,72.38,34.78,11.78,69.92,36.3,21.450000000000006,47.3,39.2,19.5,31.05,91.08,80.10000000000002,37.74,21.45,96.0,72.97999999999998,100.0,31.16,64.5,0.0,1.68,0.55,0.72,0.39,0.0,0.53,12.0,1.96,0.9,3.8,7.000000000000001,0.0
2011-03-03,91.08,28.08,24.0,47.43,68.0,54.67,27.72,68.0,48.0,56.8,86.45,72.38,35.52,10.45,82.8,47.52,39.6,44.72,39.9,18.72,31.05,93.06,74.7,49.47,17.82,91.0,70.52,98.0,30.4,73.1,0.0,1.5,1.0,0.53,0.4,0.0,0.54,9.84,4.0,0.74,3.4,6.7200000000000015,0.0
2011-03-04,83.72,21.24,25.2,47.94,69.60000000000001,42.35,28.8,17.68,53.12000000000001,80.0,82.81,73.92,32.56,12.16,52.44000000000001,45.54,23.1,48.16,42.7,15.86,32.85,89.1,83.7,42.33,24.42,84.0,80.36,93.0,34.2,67.94,0.0,1.2,0.55,0.49,0.24,0.0,0.63,10.68,1.64,1.9,4.0,5.74,0.0
2011-03-05,70.84,22.68,27.9,45.9,80.0,28.49,36.0,21.76,23.04,26.4,80.99000000000002,72.38,34.78,19.0,39.56,29.040000000000006,25.3,39.56,62.99999999999999,15.34,42.75,48.51,84.60000000000002,35.7,7.590000000000002,40.0,80.36,96.0,19.38,13.76,0.0,0.88,0.48,0.25,0.59,0.0,0.9,6.6,1.52,0.94,3.2,5.32,0.0
2011-03-06,70.84,21.6,28.2,45.39,78.4,37.73,35.28,0.0,14.08,26.4,76.44,70.07000000000001,31.82,15.01,46.92,21.12,16.5,29.24,68.6,16.38,45.0,40.59,73.8,40.29,7.590000000000002,31.0,72.16,91.0,24.32,17.2,0.0,1.16,0.47,0.35000000000000003,0.38,0.0,0.93,7.199999999999998,1.0,0.7000000000000001,2.44,5.74,0.0
2011-03-07,87.4,18.72,25.8,45.9,66.4,73.92,28.8,34.0,43.52,55.2,79.17,71.61,34.04,12.16,76.36,58.74,30.250000000000004,41.28,44.8,16.12,32.4,87.12,68.4,39.78,11.88,86.0,77.08,96.0,30.4,55.04,0.0,1.28,0.71,0.38,0.35000000000000003,0.0,0.6,11.28,2.12,2.0,3.84,6.0200000000000005,0.0
2011-03-08,90.16,18.36,26.1,48.45,66.4,69.3,27.0,33.32,57.6,34.4,80.08,66.99,31.82,11.78,92.0,53.46,25.85,38.7,41.3,16.64,29.7,97.02,77.4,48.45,9.57,85.0,77.08,96.0,33.44,54.18,0.0,1.44,0.43,0.34,0.39,0.0,0.37,11.64,2.6,0.9,2.2,5.95,0.0
