date,The Home Depot
2012-07-25,11.66
2012-07-26,14.3
2012-07-27,11.88
2012-07-28,12.98
2012-07-29,12.98
2012-07-30,12.98
2012-07-31,12.98
2012-08-01,12.4
2012-08-02,15.200000000000001
2012-08-03,14.200000000000001
2012-08-04,14.8
2012-08-05,16.8
2012-08-06,17.8
2012-08-07,15.8
2012-08-08,13.200000000000001
2012-08-09,16.400000000000002
2012-08-10,12.4
2012-08-11,17.0
2012-08-12,14.600000000000001
2012-08-13,20.0
2012-08-14,14.0
2012-08-15,14.8
2012-08-16,15.4
2012-08-17,17.2
2012-08-18,14.600000000000001
2012-08-19,16.2
2012-08-20,17.2
2012-08-21,15.8
2012-08-22,14.200000000000001
2012-08-23,17.8
2012-08-24,13.0
2012-08-25,17.0
2012-08-26,17.0
2012-08-27,15.200000000000001
2012-08-28,12.600000000000001
2012-08-29,12.0
2012-08-30,14.8
2012-08-31,13.4
2012-09-01,19.0
2012-09-02,19.200000000000003
2012-09-03,20.0
2012-09-04,13.8
2012-09-05,13.4
2012-09-06,12.8
2012-09-07,14.0
2012-09-08,16.6
2012-09-09,18.6
2012-09-10,14.4
2012-09-11,14.600000000000001
2012-09-12,15.4
2012-09-13,12.200000000000001
2012-09-14,14.600000000000001
2012-09-15,17.0
2012-09-16,15.0
2012-09-17,15.600000000000001
2012-09-18,15.0
2012-09-19,14.4
2012-09-20,15.600000000000001
2012-09-21,11.0
2012-09-22,16.400000000000002
2012-09-23,15.0
2012-09-24,10.4
2012-09-25,13.600000000000001
2012-09-26,14.0
2012-09-27,12.600000000000001
2012-09-28,13.8
2012-09-29,13.0
2012-09-30,15.0
2012-10-01,19.0
2012-10-02,15.39
2012-10-03,13.870000000000001
2012-10-04,15.2
2012-10-05,14.44
2012-10-06,18.240000000000002
2012-10-07,18.05
2012-10-08,18.240000000000002
2012-10-09,15.58
2012-10-10,14.25
2012-10-11,13.3
2012-10-12,15.39
2012-10-13,16.15
2012-10-14,14.82
2012-10-15,18.240000000000002
2012-10-16,14.63
2012-10-17,15.2
2012-10-18,14.82
2012-10-19,12.35
2012-10-20,15.77
2012-10-21,15.2
2012-10-22,18.43
2012-10-23,14.82
2012-10-24,15.2
2012-10-25,14.06
2012-10-26,15.58
2012-10-27,19.0
2012-10-28,18.240000000000002
2012-10-29,17.48
2012-10-30,17.86
2012-10-31,12.35
2012-11-01,11.270000000000001
2012-11-02,15.64
2012-11-03,13.8
2012-11-04,13.34
2012-11-05,11.96
2012-11-06,11.5
2012-11-07,9.200000000000001
2012-11-08,11.040000000000001
2012-11-09,11.96
2012-11-10,13.34
2012-11-11,12.190000000000001
2012-11-12,12.65
2012-11-13,12.190000000000001
2012-11-14,12.65
2012-11-15,11.270000000000001
2012-11-16,12.190000000000001
2012-11-17,13.57
2012-11-18,14.72
2012-11-19,14.72
2012-11-20,12.65
2012-11-21,13.110000000000001
2012-11-22,17.48
2012-11-23,23.0
2012-11-24,17.71
2012-11-25,16.1
2012-11-26,15.180000000000001
2012-11-27,12.65
2012-11-28,12.42
2012-11-29,11.5
2012-11-30,11.270000000000001
2012-12-01,17.64
2012-12-02,18.689999999999998
2012-12-03,15.33
2012-12-04,15.54
2012-12-05,14.07
2012-12-06,15.75
2012-12-07,14.49
2012-12-08,21.0
2012-12-09,21.0
2012-12-10,15.75
2012-12-11,13.86
2012-12-12,13.44
2012-12-13,13.44
2012-12-14,13.86
2012-12-15,13.86
2012-12-16,17.849999999999998
2012-12-17,15.54
2012-12-18,15.54
2012-12-19,14.7
2012-12-20,14.91
2012-12-21,15.54
2012-12-22,17.43
2012-12-23,14.28
2012-12-24,16.169999999999998
2012-12-25,10.5
2012-12-26,17.64
2012-12-27,14.49
2012-12-28,14.7
2012-12-29,19.74
2012-12-30,17.64
2012-12-31,15.959999999999999
2013-01-01,19.0
2013-01-02,14.63
2013-01-03,12.35
2013-01-04,13.68
2013-01-05,14.25
2013-01-06,16.53
2013-01-07,11.02
2013-01-08,12.16
2013-01-09,11.02
2013-01-10,10.45
2013-01-11,14.44
2013-01-12,11.97
2013-01-13,15.39
2013-01-14,14.25
2013-01-15,12.73
2013-01-16,13.3
2013-01-17,13.68
2013-01-18,12.16
2013-01-19,15.39
2013-01-20,14.25
2013-01-21,12.92
2013-01-22,11.59
2013-01-23,12.35
2013-01-24,12.73
2013-01-25,12.16
