date,Bank of America
2013-04-24,63.99
2013-04-25,64.78
2013-04-26,71.10000000000001
2013-04-27,62.410000000000004
2013-04-28,45.03
2013-04-29,66.36
2013-04-30,72.68
2013-05-01,63.96
2013-05-02,61.620000000000005
2013-05-03,68.64
2013-05-04,55.38
2013-05-05,39.78
2013-05-06,60.84
2013-05-07,61.620000000000005
2013-05-08,56.940000000000005
2013-05-09,57.72
2013-05-10,62.400000000000006
2013-05-11,53.82
2013-05-12,38.22
2013-05-13,58.5
2013-05-14,59.28
2013-05-15,63.96
2013-05-16,60.84
2013-05-17,65.52
2013-05-18,53.82
2013-05-19,39.78
2013-05-20,58.5
2013-05-21,57.72
2013-05-22,56.940000000000005
2013-05-23,56.940000000000005
2013-05-24,63.18
2013-05-25,50.7
2013-05-26,38.22
2013-05-27,39.78
2013-05-28,58.5
2013-05-29,60.84
2013-05-30,60.84
2013-05-31,78.0
2013-06-01,68.8
2013-06-02,50.400000000000006
2013-06-03,76.0
2013-06-04,73.60000000000001
2013-06-05,70.4
2013-06-06,67.2
2013-06-07,74.4
2013-06-08,62.400000000000006
2013-06-09,47.2
2013-06-10,67.2
2013-06-11,68.8
2013-06-12,68.0
2013-06-13,66.4
2013-06-14,80.0
2013-06-15,64.8
2013-06-16,48.0
2013-06-17,70.4
2013-06-18,68.0
2013-06-19,66.4
2013-06-20,67.2
2013-06-21,74.4
2013-06-22,62.400000000000006
2013-06-23,46.400000000000006
2013-06-24,68.8
2013-06-25,66.4
2013-06-26,65.60000000000001
2013-06-27,65.60000000000001
2013-06-28,79.2
2013-06-29,65.60000000000001
2013-06-30,49.6
2013-07-01,80.50999999999999
2013-07-02,80.50999999999999
2013-07-03,83.0
2013-07-04,60.589999999999996
2013-07-05,81.33999999999999
2013-07-06,67.22999999999999
2013-07-07,52.29
2013-07-08,75.53
2013-07-09,74.7
2013-07-10,72.21
2013-07-11,73.03999999999999
2013-07-12,82.17
2013-07-13,65.57
2013-07-14,48.97
2013-07-15,78.02
2013-07-16,77.19
2013-07-17,73.86999999999999
2013-07-18,74.7
2013-07-19,80.50999999999999
2013-07-20,64.74
2013-07-21,51.46
2013-07-22,71.38
2013-07-23,70.55
2013-07-24,71.38
2013-07-25,70.55
2013-07-26,78.85
2013-07-27,63.91
2013-07-28,53.12
2013-07-29,70.55
2013-07-30,75.53
2013-07-31,77.19
2013-08-01,77.89999999999999
2013-08-02,82.0
2013-08-03,65.6
2013-08-04,48.379999999999995
2013-08-05,72.16
2013-08-06,68.06
2013-08-07,67.24
2013-08-08,66.42
2013-08-09,74.61999999999999
2013-08-10,62.31999999999999
2013-08-11,45.099999999999994
2013-08-12,65.6
2013-08-13,68.06
2013-08-14,66.42
2013-08-15,72.16
2013-08-16,77.89999999999999
2013-08-17,62.31999999999999
