date,EDD
2012-11-02,15.84
2012-11-03,12.540000000000001
2012-11-04,11.88
2012-11-05,17.16
2012-11-06,18.04
2012-11-07,15.84
2012-11-08,16.28
2012-11-09,15.84
2012-11-10,11.44
2012-11-11,14.3
2012-11-12,14.96
2012-11-13,20.9
2012-11-14,22.0
2012-11-15,20.24
2012-11-16,20.02
2012-11-17,14.74
2012-11-18,14.74
2012-11-19,21.12
2012-11-20,19.14
2012-11-21,18.48
2012-11-22,12.540000000000001
2012-11-23,14.3
2012-11-24,13.2
2012-11-25,14.74
2012-11-26,21.12
2012-11-27,21.78
2012-11-28,22.0
2012-11-29,18.48
2012-11-30,18.04
2012-12-01,14.72
2012-12-02,16.1
2012-12-03,20.01
2012-12-04,20.470000000000002
2012-12-05,18.400000000000002
2012-12-06,20.01
2012-12-07,18.86
2012-12-08,12.42
2012-12-09,14.49
2012-12-10,18.86
2012-12-11,21.85
2012-12-12,21.16
2012-12-13,19.78
2012-12-14,18.17
2012-12-15,14.950000000000001
2012-12-16,14.030000000000001
2012-12-17,23.0
2012-12-18,21.85
2012-12-19,20.7
2012-12-20,16.330000000000002
2012-12-21,17.48
2012-12-22,15.180000000000001
2012-12-23,15.41
2012-12-24,20.7
2012-12-25,14.26
2012-12-26,18.630000000000003
2012-12-27,22.310000000000002
2012-12-28,19.78
2012-12-29,17.71
2012-12-30,17.71
2012-12-31,22.080000000000002
2013-01-01,18.0
2013-01-02,25.0
2013-01-03,25.0
2013-01-04,19.5
2013-01-05,16.25
2013-01-06,15.0
2013-01-07,23.25
2013-01-08,21.5
2013-01-09,18.25
2013-01-10,21.5
2013-01-11,16.5
2013-01-12,13.5
2013-01-13,15.25
2013-01-14,22.25
2013-01-15,22.25
2013-01-16,18.75
2013-01-17,19.0
2013-01-18,18.25
2013-01-19,13.5
2013-01-20,12.0
2013-01-21,15.25
2013-01-22,20.25
2013-01-23,21.0
2013-01-24,16.75
2013-01-25,17.5
2013-01-26,12.75
2013-01-27,15.25
2013-01-28,18.75
2013-01-29,19.5
2013-01-30,19.75
2013-01-31,17.25
2013-02-01,18.26
2013-02-02,13.64
2013-02-03,13.2
2013-02-04,19.8
2013-02-05,20.24
2013-02-06,18.7
2013-02-07,19.36
2013-02-08,18.7
2013-02-09,13.64
2013-02-10,14.3
2013-02-11,19.580000000000002
2013-02-12,22.0
2013-02-13,17.38
2013-02-14,17.16
2013-02-15,18.48
2013-02-16,14.74
2013-02-17,12.32
2013-02-18,12.76
2013-02-19,21.78
2013-02-20,21.56
2013-02-21,17.38
2013-02-22,18.04
2013-02-23,12.76
2013-02-24,13.42
2013-02-25,18.92
2013-02-26,22.0
2013-02-27,16.94
2013-02-28,19.36
2013-03-01,17.009999999999998
2013-03-02,12.18
2013-03-03,12.389999999999999
2013-03-04,18.9
2013-03-05,18.48
2013-03-06,17.43
2013-03-07,15.75
2013-03-08,16.169999999999998
2013-03-09,13.229999999999999
2013-03-10,12.809999999999999
2013-03-11,19.74
2013-03-12,21.0
2013-03-13,17.43
2013-03-14,16.59
2013-03-15,16.8
2013-03-16,12.18
2013-03-17,12.18
2013-03-18,17.43
2013-03-19,17.849999999999998
2013-03-20,16.59
2013-03-21,15.75
2013-03-22,16.38
2013-03-23,11.34
2013-03-24,12.389999999999999
2013-03-25,19.95
2013-03-26,19.74
2013-03-27,15.959999999999999
2013-03-28,17.009999999999998
2013-03-29,15.75
2013-03-30,11.549999999999999
2013-03-31,12.18
2013-04-01,19.09
2013-04-02,23.0
2013-04-03,23.0
2013-04-04,19.78
2013-04-05,17.25
2013-04-06,13.8
2013-04-07,16.560000000000002
2013-04-08,22.080000000000002
2013-04-09,21.16
2013-04-10,17.94
2013-04-11,17.25
2013-04-12,18.400000000000002
2013-04-13,13.110000000000001
2013-04-14,14.26
2013-04-15,20.470000000000002
2013-04-16,18.86
2013-04-17,17.25
2013-04-18,17.25
2013-04-19,17.02
2013-04-20,12.65
