date,Oracle
2013-01-03,62.400000000000006
2013-01-04,57.72
2013-01-05,23.400000000000002
2013-01-06,21.060000000000002
2013-01-07,60.84
2013-01-08,71.76
2013-01-09,71.76
2013-01-10,76.44
2013-01-11,63.18
2013-01-12,34.32
2013-01-13,26.52
2013-01-14,75.66
2013-01-15,73.32000000000001
2013-01-16,78.0
2013-01-17,76.44
2013-01-18,63.96
2013-01-19,31.200000000000003
2013-01-20,22.62
2013-01-21,49.92
2013-01-22,72.54
2013-01-23,77.22
2013-01-24,75.66
2013-01-25,70.98
2013-01-26,29.64
2013-01-27,24.18
2013-01-28,65.52
2013-01-29,73.32000000000001
2013-01-30,67.08
2013-01-31,70.98
2013-02-01,76.0
2013-02-02,30.400000000000002
2013-02-03,25.6
2013-02-04,72.8
2013-02-05,79.2
2013-02-06,76.80000000000001
2013-02-07,73.60000000000001
2013-02-08,66.4
2013-02-09,28.0
2013-02-10,25.6
2013-02-11,68.8
2013-02-12,73.60000000000001
2013-02-13,77.60000000000001
2013-02-14,74.4
2013-02-15,72.8
2013-02-16,24.0
2013-02-17,28.0
2013-02-18,52.800000000000004
2013-02-19,76.0
2013-02-20,80.0
2013-02-21,76.0
2013-02-22,72.0
2013-02-23,32.0
2013-02-24,27.200000000000003
2013-02-25,70.4
2013-02-26,73.60000000000001
2013-02-27,75.2
2013-02-28,76.0
2013-03-01,66.3
2013-03-02,29.64
2013-03-03,24.96
2013-03-04,67.08
2013-03-05,73.32000000000001
2013-03-06,78.0
2013-03-07,72.54
2013-03-08,63.18
2013-03-09,30.42
2013-03-10,24.96
2013-03-11,67.08
2013-03-12,72.54
2013-03-13,75.66
2013-03-14,67.86
2013-03-15,63.96
2013-03-16,28.080000000000002
2013-03-17,24.96
2013-03-18,63.18
2013-03-19,76.44
2013-03-20,74.88
2013-03-21,76.44
2013-03-22,61.620000000000005
2013-03-23,23.400000000000002
2013-03-24,23.400000000000002
2013-03-25,67.86
2013-03-26,75.66
2013-03-27,72.54
2013-03-28,63.18
2013-03-29,53.82
2013-03-30,21.060000000000002
2013-03-31,21.84
