date,Comcast
2013-04-08,68.53
2013-04-09,66.99
2013-04-10,62.370000000000005
2013-04-11,66.22
2013-04-12,67.76
2013-04-13,64.68
2013-04-14,57.75
2013-04-15,63.910000000000004
2013-04-16,62.370000000000005
2013-04-17,63.910000000000004
2013-04-18,60.83
2013-04-19,62.370000000000005
2013-04-20,69.3
2013-04-21,60.06
2013-04-22,65.45
2013-04-23,63.14
2013-04-24,63.14
2013-04-25,61.6
2013-04-26,62.370000000000005
2013-04-27,67.76
2013-04-28,59.29
2013-04-29,66.22
2013-04-30,69.3
2013-05-01,71.10000000000001
2013-05-02,63.99
2013-05-03,73.47
2013-05-04,69.52000000000001
2013-05-05,60.040000000000006
2013-05-06,67.15
2013-05-07,68.73
2013-05-08,66.36
2013-05-09,64.78
2013-05-10,64.78
2013-05-11,67.15
2013-05-12,56.09
2013-05-13,67.15
2013-05-14,67.94
2013-05-15,67.15
2013-05-16,71.10000000000001
2013-05-17,71.10000000000001
2013-05-18,69.52000000000001
2013-05-19,62.410000000000004
2013-05-20,68.73
2013-05-21,74.26
2013-05-22,67.94
2013-05-23,71.10000000000001
2013-05-24,70.31
2013-05-25,73.47
2013-05-26,54.510000000000005
2013-05-27,60.830000000000005
2013-05-28,75.05
2013-05-29,79.0
2013-05-30,75.84
2013-05-31,77.42
2013-06-01,78.11999999999999
2013-06-02,68.88
2013-06-03,84.0
2013-06-04,78.11999999999999
2013-06-05,73.92
2013-06-06,80.64
2013-06-07,80.64
2013-06-08,79.8
2013-06-09,64.67999999999999
2013-06-10,78.11999999999999
2013-06-11,78.11999999999999
2013-06-12,73.08
2013-06-13,71.39999999999999
2013-06-14,78.11999999999999
2013-06-15,78.96
2013-06-16,68.03999999999999
2013-06-17,78.96
2013-06-18,79.8
2013-06-19,68.88
2013-06-20,72.24
2013-06-21,71.39999999999999
2013-06-22,72.24
2013-06-23,62.16
2013-06-24,80.64
2013-06-25,78.11999999999999
2013-06-26,79.8
2013-06-27,75.6
2013-06-28,79.8
2013-06-29,76.44
2013-06-30,71.39999999999999
2013-07-01,84.28
2013-07-02,79.12
2013-07-03,73.96
2013-07-04,60.199999999999996
2013-07-05,77.4
2013-07-06,75.67999999999999
2013-07-07,67.94
2013-07-08,80.84
2013-07-09,79.98
2013-07-10,83.42
2013-07-11,79.12
2013-07-12,75.67999999999999
2013-07-13,74.82
2013-07-14,65.36
2013-07-15,84.28
2013-07-16,84.28
2013-07-17,80.84
2013-07-18,73.96
2013-07-19,76.53999999999999
2013-07-20,79.98
2013-07-21,69.66
2013-07-22,79.12
2013-07-23,76.53999999999999
2013-07-24,75.67999999999999
2013-07-25,77.4
2013-07-26,81.7
2013-07-27,79.98
2013-07-28,68.8
2013-07-29,84.28
2013-07-30,82.56
2013-07-31,86.0
2013-08-01,74.52000000000001
2013-08-02,75.44
2013-08-03,70.84
2013-08-04,64.4
2013-08-05,80.04
2013-08-06,75.44
2013-08-07,75.44
2013-08-08,72.68
2013-08-09,77.28
2013-08-10,71.76
2013-08-11,65.32000000000001
2013-08-12,78.2
2013-08-13,72.68
2013-08-14,73.60000000000001
2013-08-15,77.28
2013-08-16,81.88000000000001
2013-08-17,87.4
2013-08-18,69.92
2013-08-19,80.96000000000001
2013-08-20,78.2
2013-08-21,72.68
2013-08-22,72.68
