date,Intel
2012-05-11,60.04
2012-05-12,50.92
2012-05-13,54.72
2012-05-14,57.76
2012-05-15,76.0
2012-05-16,69.92
2012-05-17,60.04
2012-05-18,64.6
2012-05-19,66.12
2012-05-20,55.480000000000004
2012-05-21,66.12
2012-05-22,66.88
2012-05-23,61.56
2012-05-24,59.28
2012-05-25,63.84
2012-05-26,58.52
2012-05-27,53.96
2012-05-28,55.480000000000004
2012-05-29,61.56
2012-05-30,60.04
2012-05-31,60.04
2012-06-01,66.0
2012-06-02,66.0
2012-06-03,58.5
2012-06-04,63.0
2012-06-05,68.25
2012-06-06,67.5
2012-06-07,69.75
2012-06-08,63.75
2012-06-09,64.5
2012-06-10,53.25
2012-06-11,67.5
2012-06-12,73.5
2012-06-13,71.25
2012-06-14,73.5
2012-06-15,75.0
2012-06-16,62.25
2012-06-17,59.25
2012-06-18,63.0
2012-06-19,71.25
2012-06-20,67.5
2012-06-21,70.5
2012-06-22,71.25
2012-06-23,66.75
2012-06-24,65.25
2012-06-25,63.0
2012-06-26,63.75
2012-06-27,65.25
2012-06-28,67.5
2012-06-29,60.0
2012-06-30,63.0
2012-07-01,48.91
2012-07-02,67.16
2012-07-03,62.05
2012-07-04,60.589999999999996
2012-07-05,66.42999999999999
2012-07-06,62.78
2012-07-07,62.05
2012-07-08,56.94
2012-07-09,63.51
2012-07-10,60.589999999999996
2012-07-11,64.97
2012-07-12,66.42999999999999
2012-07-13,66.42999999999999
2012-07-14,62.78
2012-07-15,55.48
2012-07-16,62.78
2012-07-17,69.35
2012-07-18,73.0
2012-07-19,65.7
2012-07-20,62.78
2012-07-21,60.589999999999996
2012-07-22,67.89
2012-07-23,60.589999999999996
2012-07-24,63.51
2012-07-25,65.7
2012-07-26,62.05
2012-07-27,63.51
2012-07-28,56.94
2012-07-29,59.86
2012-07-30,62.78
2012-07-31,61.32
2012-08-01,65.12
2012-08-02,65.12
2012-08-03,63.64
2012-08-04,57.72
2012-08-05,60.68
2012-08-06,63.64
2012-08-07,69.56
2012-08-08,62.16
2012-08-09,66.6
2012-08-10,59.94
2012-08-11,62.16
2012-08-12,56.24
2012-08-13,66.6
2012-08-14,68.08
2012-08-15,74.0
2012-08-16,66.6
2012-08-17,65.12
2012-08-18,66.6
2012-08-19,61.42
2012-08-20,70.3
2012-08-21,71.03999999999999
2012-08-22,63.64
2012-08-23,69.56
2012-08-24,63.64
2012-08-25,59.94
2012-08-26,59.94
2012-08-27,65.12
2012-08-28,70.3
2012-08-29,68.82
2012-08-30,63.64
2012-08-31,68.08
2012-09-01,53.25
2012-09-02,48.989999999999995
2012-09-03,55.379999999999995
2012-09-04,61.059999999999995
2012-09-05,54.669999999999995
2012-09-06,56.089999999999996
2012-09-07,56.8
2012-09-08,51.12
2012-09-09,49.699999999999996
2012-09-10,56.089999999999996
2012-09-11,63.19
2012-09-12,64.61
2012-09-13,61.769999999999996
