date,UnitedHealth Group
2012-05-15,42.120000000000005
2012-05-16,21.6
2012-05-17,33.480000000000004
2012-05-18,0.0
2012-05-19,14.580000000000002
2012-05-20,28.62
2012-05-21,32.400000000000006
2012-05-22,32.400000000000006
2012-05-23,21.6
2012-05-24,0.0
2012-05-25,0.0
2012-05-26,29.160000000000004
2012-05-27,15.120000000000001
2012-05-28,27.540000000000003
2012-05-29,21.6
2012-05-30,43.2
2012-05-31,43.74
2012-06-01,33.39
2012-06-02,40.32
2012-06-03,27.09
2012-06-04,37.17
2012-06-05,31.5
2012-06-06,42.21
2012-06-07,49.14
2012-06-08,0.0
2012-06-09,13.86
2012-06-10,0.0
2012-06-11,27.09
2012-06-12,31.5
2012-06-13,0.0
2012-06-14,27.09
2012-06-15,63.0
2012-06-16,13.86
2012-06-17,0.0
2012-06-18,53.55
2012-06-19,42.84
2012-06-20,27.09
2012-06-21,16.38
2012-06-22,22.68
2012-06-23,13.86
2012-06-24,0.0
2012-06-25,32.13
2012-06-26,58.59
2012-06-27,48.51
2012-06-28,54.18
2012-06-29,61.74
2012-06-30,13.86
2012-07-01,14.24
2012-07-02,89.0
2012-07-03,10.68
2012-07-04,14.24
2012-07-05,24.03
2012-07-06,34.71
2012-07-07,54.29
2012-07-08,55.18
2012-07-09,43.61
2012-07-10,53.4
2012-07-11,43.61
2012-07-12,10.68
2012-07-13,34.71
2012-07-14,41.83
2012-07-15,40.94
2012-07-16,75.65
2012-07-17,86.33
2012-07-18,43.61
2012-07-19,32.93
2012-07-20,33.82
2012-07-21,0.0
2012-07-22,84.55
2012-07-23,64.97
2012-07-24,10.68
2012-07-25,53.4
2012-07-26,54.29
2012-07-27,23.14
2012-07-28,0.0
2012-07-29,0.0
2012-07-30,64.97
2012-07-31,74.76
2012-08-01,41.8
2012-08-02,47.5
2012-08-03,38.0
2012-08-04,32.3
2012-08-05,58.9
2012-08-06,41.8
2012-08-07,46.55
2012-08-08,52.25
2012-08-09,46.55
2012-08-10,43.699999999999996
2012-08-11,25.65
2012-08-12,32.3
2012-08-13,67.45
2012-08-14,71.25
2012-08-15,57.0
2012-08-16,95.0
2012-08-17,49.4
2012-08-18,13.299999999999999
2012-08-19,53.199999999999996
2012-08-20,41.8
2012-08-21,25.65
2012-08-22,67.45
2012-08-23,42.75
2012-08-24,38.0
2012-08-25,51.3
2012-08-26,38.0
2012-08-27,56.05
2012-08-28,50.349999999999994
2012-08-29,57.0
2012-08-30,67.45
2012-08-31,76.0
2012-09-01,43.89
2012-09-02,22.330000000000002
2012-09-03,10.01
2012-09-04,76.23
2012-09-05,42.35
2012-09-06,60.83
2012-09-07,17.71
2012-09-08,20.79
2012-09-09,0.0
2012-09-10,42.35
2012-09-11,77.0
2012-09-12,41.58
2012-09-13,42.35
2012-09-14,35.42
2012-09-15,10.780000000000001
2012-09-16,0.0
2012-09-17,50.82
2012-09-18,33.11
2012-09-19,50.82
2012-09-20,34.65
2012-09-21,44.660000000000004
2012-09-22,10.780000000000001
2012-09-23,20.79
2012-09-24,25.41
2012-09-25,33.88
2012-09-26,50.050000000000004
2012-09-27,8.47
2012-09-28,35.42
2012-09-29,21.560000000000002
2012-09-30,10.01
2012-10-01,24.189999999999998
2012-10-02,35.4
2012-10-03,47.79
2012-10-04,41.89
2012-10-05,18.88
2012-10-06,30.09
2012-10-07,14.75
2012-10-08,41.89
2012-10-09,46.61
2012-10-10,47.199999999999996
2012-10-11,47.79
2012-10-12,30.68
2012-10-13,44.839999999999996
2012-10-14,28.91
2012-10-15,34.809999999999995
2012-10-16,34.809999999999995
2012-10-17,34.809999999999995
2012-10-18,47.199999999999996
2012-10-19,24.189999999999998
2012-10-20,22.419999999999998
2012-10-21,59.0
2012-10-22,34.809999999999995
2012-10-23,56.05
2012-10-24,34.22
2012-10-25,17.11
2012-10-26,42.48
2012-10-27,36.58
2012-10-28,14.16
2012-10-29,38.94
2012-10-30,28.32
2012-10-31,30.09
2012-11-01,10.809999999999999
2012-11-02,15.51
2012-11-03,18.33
2012-11-04,12.219999999999999
2012-11-05,39.01
2012-11-06,9.399999999999999
2012-11-07,18.33
2012-11-08,45.589999999999996
2012-11-09,15.51
2012-11-10,12.69
2012-11-11,24.91
2012-11-12,40.419999999999995
2012-11-13,24.439999999999998
