date,Microsoft
2012-10-24,74.7
2012-10-25,77.19
2012-10-26,83.0
2012-10-27,68.89
2012-10-28,67.22999999999999
2012-10-29,76.36
2012-10-30,75.53
2012-10-31,68.89
2012-11-01,77.35
2012-11-02,73.1
2012-11-03,61.199999999999996
2012-11-04,61.199999999999996
2012-11-05,80.75
2012-11-06,73.1
2012-11-07,68.0
2012-11-08,81.6
2012-11-09,77.35
2012-11-10,60.35
2012-11-11,62.9
2012-11-12,78.2
2012-11-13,81.6
2012-11-14,78.2
2012-11-15,81.6
2012-11-16,73.95
2012-11-17,59.5
2012-11-18,63.75
2012-11-19,81.6
2012-11-20,79.05
2012-11-21,69.7
2012-11-22,69.7
2012-11-23,77.35
2012-11-24,69.7
2012-11-25,73.1
2012-11-26,84.14999999999999
2012-11-27,85.0
2012-11-28,81.6
2012-11-29,79.05
2012-11-30,71.39999999999999
2012-12-01,59.129999999999995
2012-12-02,58.4
2012-12-03,73.0
2012-12-04,72.27
2012-12-05,70.81
2012-12-06,70.08
2012-12-07,68.62
2012-12-08,53.29
2012-12-09,54.75
2012-12-10,66.42999999999999
2012-12-11,68.62
2012-12-12,67.89
2012-12-13,67.89
2012-12-14,59.129999999999995
2012-12-15,51.1
2012-12-16,51.83
2012-12-17,62.78
2012-12-18,62.05
2012-12-19,60.589999999999996
2012-12-20,59.86
2012-12-21,54.75
2012-12-22,46.72
2012-12-23,46.72
2012-12-24,51.1
2012-12-25,58.4
2012-12-26,64.24
2012-12-27,61.32
2012-12-28,59.86
2012-12-29,49.64
2012-12-30,47.449999999999996
2012-12-31,50.37
2013-01-01,46.97
2013-01-02,63.910000000000004
2013-01-03,65.45
2013-01-04,63.910000000000004
2013-01-05,51.59
2013-01-06,53.9
2013-01-07,66.99
2013-01-08,66.99
2013-01-09,69.3
2013-01-10,69.3
2013-01-11,64.68
2013-01-12,51.59
2013-01-13,57.75
2013-01-14,66.99
2013-01-15,70.84
2013-01-16,68.53
2013-01-17,70.84
2013-01-18,65.45
2013-01-19,50.82
2013-01-20,49.28
2013-01-21,63.14
2013-01-22,70.84
2013-01-23,74.69
2013-01-24,70.84
2013-01-25,70.07000000000001
2013-01-26,53.9
2013-01-27,53.9
2013-01-28,63.910000000000004
2013-01-29,75.46000000000001
2013-01-30,77.0
2013-01-31,75.46000000000001
2013-02-01,73.92
2013-02-02,56.980000000000004
2013-02-03,56.21
2013-02-04,67.76
2013-02-05,73.15
2013-02-06,77.0
2013-02-07,74.69
2013-02-08,68.53
2013-02-09,60.83
2013-02-10,61.6
2013-02-11,72.38
2013-02-12,73.92
2013-02-13,73.92
2013-02-14,68.53
2013-02-15,67.76
2013-02-16,55.44
2013-02-17,56.980000000000004
2013-02-18,69.3
2013-02-19,71.61
2013-02-20,73.92
2013-02-21,75.46000000000001
2013-02-22,70.07000000000001
2013-02-23,59.29
2013-02-24,59.29
2013-02-25,68.53
2013-02-26,75.46000000000001
2013-02-27,73.92
2013-02-28,72.38
2013-03-01,67.67999999999999
2013-03-02,52.559999999999995
2013-03-03,56.16
2013-03-04,69.84
2013-03-05,71.28
2013-03-06,67.67999999999999
2013-03-07,70.56
2013-03-08,66.24
2013-03-09,51.839999999999996
2013-03-10,52.559999999999995
2013-03-11,64.8
2013-03-12,71.28
2013-03-13,71.28
2013-03-14,70.56
2013-03-15,64.8
2013-03-16,52.559999999999995
2013-03-17,54.0
2013-03-18,66.96
2013-03-19,72.0
2013-03-20,70.56
2013-03-21,69.12
2013-03-22,64.08
2013-03-23,50.4
2013-03-24,50.4
2013-03-25,64.8
2013-03-26,67.67999999999999
2013-03-27,67.67999999999999
2013-03-28,63.36
2013-03-29,59.76
2013-03-30,48.96
2013-03-31,52.559999999999995
