date,Verizon
2012-06-23,54.940000000000005
2012-06-24,52.260000000000005
2012-06-25,58.96
2012-06-26,59.63
2012-06-27,58.96
2012-06-28,61.64
2012-06-29,64.32000000000001
2012-06-30,62.31
2012-07-01,60.970000000000006
2012-07-02,67.0
2012-07-03,61.64
2012-07-04,54.940000000000005
2012-07-05,64.32000000000001
2012-07-06,64.99000000000001
2012-07-07,60.300000000000004
2012-07-08,56.28
2012-07-09,62.31
2012-07-10,61.64
2012-07-11,63.650000000000006
2012-07-12,62.31
2012-07-13,65.66000000000001
2012-07-14,60.970000000000006
2012-07-15,54.940000000000005
2012-07-16,62.980000000000004
2012-07-17,56.95
2012-07-18,63.650000000000006
2012-07-19,61.64
2012-07-20,60.970000000000006
2012-07-21,56.28
2012-07-22,55.61000000000001
2012-07-23,59.63
2012-07-24,58.96
2012-07-25,58.290000000000006
2012-07-26,58.290000000000006
2012-07-27,60.300000000000004
2012-07-28,57.620000000000005
2012-07-29,52.93
2012-07-30,59.63
2012-07-31,59.63
2012-08-01,64.0
2012-08-02,58.24
2012-08-03,60.800000000000004
2012-08-04,56.32
2012-08-05,55.68
2012-08-06,61.44
2012-08-07,60.160000000000004
2012-08-08,59.52
2012-08-09,59.52
2012-08-10,62.72
2012-08-11,56.32
2012-08-12,52.480000000000004
2012-08-13,57.6
2012-08-14,61.44
2012-08-15,61.44
2012-08-16,60.160000000000004
2012-08-17,59.52
2012-08-18,58.24
2012-08-19,57.6
2012-08-20,59.52
2012-08-21,58.24
2012-08-22,56.96
2012-08-23,57.6
2012-08-24,56.96
2012-08-25,58.24
2012-08-26,52.480000000000004
2012-08-27,58.24
2012-08-28,56.96
2012-08-29,55.04
2012-08-30,55.68
2012-08-31,58.88
2012-09-01,39.96
2012-09-02,35.519999999999996
2012-09-03,37.74
2012-09-04,39.22
2012-09-05,39.22
2012-09-06,41.44
2012-09-07,39.96
2012-09-08,38.48
2012-09-09,37.74
2012-09-10,38.48
2012-09-11,40.7
2012-09-12,59.94
2012-09-13,66.6
2012-09-14,74.0
2012-09-15,55.5
2012-09-16,48.1
2012-09-17,48.839999999999996
2012-09-18,46.62
2012-09-19,46.62
2012-09-20,48.839999999999996
2012-09-21,60.68
2012-09-22,56.98
2012-09-23,48.839999999999996
2012-09-24,49.58
2012-09-25,47.36
2012-09-26,47.36
2012-09-27,45.88
2012-09-28,45.88
2012-09-29,47.36
2012-09-30,42.92
2012-10-01,65.0
2012-10-02,60.45
2012-10-03,58.5
2012-10-04,58.5
2012-10-05,59.800000000000004
2012-10-06,59.800000000000004
2012-10-07,59.15
2012-10-08,59.800000000000004
2012-10-09,57.2
2012-10-10,57.2
2012-10-11,57.85
2012-10-12,57.85
2012-10-13,59.15
2012-10-14,52.0
2012-10-15,59.800000000000004
2012-10-16,57.2
2012-10-17,56.550000000000004
2012-10-18,57.85
2012-10-19,59.800000000000004
2012-10-20,58.5
2012-10-21,51.35
2012-10-22,55.9
2012-10-23,53.95
2012-10-24,55.25
2012-10-25,57.85
2012-10-26,56.550000000000004
2012-10-27,55.25
2012-10-28,52.65
2012-10-29,53.300000000000004
2012-10-30,55.9
2012-10-31,57.85
2012-11-01,51.68000000000001
2012-11-02,51.68000000000001
2012-11-03,52.36000000000001
2012-11-04,48.96
2012-11-05,51.00000000000001
2012-11-06,46.24
2012-11-07,42.160000000000004
2012-11-08,51.00000000000001
2012-11-09,52.36000000000001
2012-11-10,49.64
2012-11-11,45.56
2012-11-12,48.96
2012-11-13,48.28
2012-11-14,48.96
2012-11-15,53.720000000000006
2012-11-16,55.080000000000005
2012-11-17,49.64
2012-11-18,48.28
