date,NVIDIA
2012-03-12,51.12
2012-03-13,53.25
2012-03-14,63.9
2012-03-15,69.58
2012-03-16,56.8
2012-03-17,54.669999999999995
2012-03-18,51.12
2012-03-19,49.699999999999996
2012-03-20,68.16
2012-03-21,60.349999999999994
2012-03-22,71.0
2012-03-23,66.74
2012-03-24,59.64
2012-03-25,59.64
2012-03-26,51.83
2012-03-27,56.089999999999996
2012-03-28,44.73
2012-03-29,52.54
2012-03-30,51.12
2012-03-31,54.669999999999995
2012-04-01,48.96
2012-04-02,39.440000000000005
2012-04-03,38.080000000000005
2012-04-04,40.800000000000004
2012-04-05,41.480000000000004
2012-04-06,46.24
2012-04-07,39.440000000000005
2012-04-08,42.84
2012-04-09,36.720000000000006
2012-04-10,41.480000000000004
2012-04-11,48.28
2012-04-12,44.88
2012-04-13,42.160000000000004
2012-04-14,55.080000000000005
2012-04-15,46.24
2012-04-16,37.400000000000006
2012-04-17,40.120000000000005
2012-04-18,47.6
2012-04-19,48.96
2012-04-20,51.00000000000001
2012-04-21,68.0
2012-04-22,59.84
2012-04-23,47.6
2012-04-24,42.160000000000004
2012-04-25,47.6
2012-04-26,41.480000000000004
2012-04-27,46.24
2012-04-28,57.800000000000004
2012-04-29,51.00000000000001
2012-04-30,48.96
2012-05-01,36.55
2012-05-02,34.85
2012-05-03,31.45
2012-05-04,39.1
2012-05-05,39.1
2012-05-06,34.85
2012-05-07,36.55
2012-05-08,34.0
2012-05-09,39.1
2012-05-10,36.55
2012-05-11,34.0
2012-05-12,44.199999999999996
2012-05-13,38.25
2012-05-14,52.699999999999996
2012-05-15,85.0
2012-05-16,70.55
2012-05-17,53.55
2012-05-18,52.699999999999996
2012-05-19,56.1
2012-05-20,51.0
2012-05-21,39.949999999999996
2012-05-22,46.75
2012-05-23,50.15
2012-05-24,41.65
2012-05-25,51.0
2012-05-26,47.6
2012-05-27,49.3
2012-05-28,45.05
2012-05-29,37.4
2012-05-30,34.0
2012-05-31,34.0
2012-06-01,72.96000000000001
2012-06-02,75.24
2012-06-03,73.72
2012-06-04,63.08
2012-06-05,66.12
2012-06-06,65.36
2012-06-07,61.56
2012-06-08,72.2
2012-06-09,74.48
2012-06-10,69.92
2012-06-11,73.72
2012-06-12,64.6
2012-06-13,69.92
2012-06-14,74.48
2012-06-15,64.6
2012-06-16,68.4
2012-06-17,75.24
2012-06-18,64.6
2012-06-19,76.0
2012-06-20,69.92
2012-06-21,69.92
2012-06-22,69.16
2012-06-23,73.72
2012-06-24,72.2
2012-06-25,60.04
2012-06-26,60.04
2012-06-27,64.6
2012-06-28,62.32
2012-06-29,65.36
2012-06-30,65.36
2012-07-01,58.8
2012-07-02,51.8
2012-07-03,52.5
2012-07-04,59.49999999999999
2012-07-05,48.3
2012-07-06,54.599999999999994
2012-07-07,50.4
2012-07-08,59.49999999999999
2012-07-09,47.599999999999994
2012-07-10,44.8
2012-07-11,47.599999999999994
2012-07-12,62.3
2012-07-13,67.89999999999999
2012-07-14,69.3
2012-07-15,68.6
2012-07-16,53.199999999999996
2012-07-17,57.4
2012-07-18,60.9
2012-07-19,57.4
2012-07-20,51.099999999999994
2012-07-21,70.0
2012-07-22,62.3
2012-07-23,53.199999999999996
2012-07-24,50.4
2012-07-25,53.199999999999996
2012-07-26,50.4
2012-07-27,51.8
2012-07-28,56.699999999999996
2012-07-29,52.5
2012-07-30,51.099999999999994
2012-07-31,48.3
2012-08-01,47.25
