date,Disney
2012-11-07,25.52
2012-11-08,30.8
2012-11-09,32.56
2012-11-10,41.36
2012-11-11,42.24
2012-11-12,35.64
2012-11-13,30.8
2012-11-14,29.48
2012-11-15,29.04
2012-11-16,30.36
2012-11-17,40.48
2012-11-18,41.36
2012-11-19,33.44
2012-11-20,32.12
2012-11-21,34.32
2012-11-22,39.160000000000004
2012-11-23,43.12
2012-11-24,44.0
2012-11-25,43.12
2012-11-26,33.0
2012-11-27,31.24
2012-11-28,30.8
2012-11-29,29.48
2012-11-30,29.92
2012-12-01,40.02
2012-12-02,40.940000000000005
2012-12-03,30.82
2012-12-04,30.82
2012-12-05,34.96
2012-12-06,34.96
2012-12-07,36.34
2012-12-08,46.0
2012-12-09,43.7
2012-12-10,33.120000000000005
2012-12-11,31.740000000000002
2012-12-12,31.740000000000002
2012-12-13,30.82
2012-12-14,29.900000000000002
2012-12-15,40.480000000000004
2012-12-16,41.4
2012-12-17,33.120000000000005
2012-12-18,31.740000000000002
2012-12-19,31.740000000000002
2012-12-20,32.2
2012-12-21,32.660000000000004
2012-12-22,40.02
2012-12-23,41.4
2012-12-24,38.64
2012-12-25,45.54
2012-12-26,40.480000000000004
2012-12-27,40.940000000000005
2012-12-28,41.4
2012-12-29,44.160000000000004
2012-12-30,44.160000000000004
2012-12-31,39.56
2013-01-01,49.0
2013-01-02,38.71
2013-01-03,37.73
2013-01-04,39.2
2013-01-05,44.1
2013-01-06,46.06
2013-01-07,36.26
2013-01-08,35.28
2013-01-09,34.3
2013-01-10,34.79
2013-01-11,37.73
2013-01-12,45.57
2013-01-13,46.55
2013-01-14,36.75
2013-01-15,34.79
2013-01-16,34.79
2013-01-17,32.83
2013-01-18,33.32
2013-01-19,45.57
2013-01-20,49.0
2013-01-21,42.63
2013-01-22,34.3
2013-01-23,34.79
2013-01-24,33.32
2013-01-25,33.32
2013-01-26,41.65
2013-01-27,44.1
2013-01-28,34.79
2013-01-29,33.81
2013-01-30,32.339999999999996
2013-01-31,31.36
2013-02-01,35.1
2013-02-02,42.300000000000004
2013-02-03,40.95
2013-02-04,32.4
2013-02-05,34.2
2013-02-06,32.4
2013-02-07,33.300000000000004
2013-02-08,33.75
2013-02-09,41.4
2013-02-10,42.300000000000004
2013-02-11,32.85
2013-02-12,31.95
2013-02-13,30.150000000000002
2013-02-14,30.6
2013-02-15,33.75
2013-02-16,42.75
2013-02-17,45.0
2013-02-18,40.050000000000004
2013-02-19,33.75
2013-02-20,33.75
2013-02-21,32.4
2013-02-22,33.300000000000004
2013-02-23,42.75
2013-02-24,44.550000000000004
2013-02-25,33.75
2013-02-26,32.4
2013-02-27,31.5
2013-02-28,31.05
2013-03-01,33.300000000000004
2013-03-02,43.2
2013-03-03,45.0
2013-03-04,34.65
2013-03-05,33.300000000000004
2013-03-06,32.4
2013-03-07,33.75
2013-03-08,35.550000000000004
