date,sba loans
2012-10-20,1.65
2012-10-21,2.16
2012-10-22,1.71
2012-10-23,0.8099999999999999
2012-10-24,1.47
2012-10-25,0.84
2012-10-26,0.8999999999999999
2012-10-27,0.0
2012-10-28,1.02
2012-10-29,1.02
2012-10-30,1.05
2012-10-31,1.3199999999999998
2012-11-01,2.16
2012-11-02,3.4
2012-11-03,0.92
2012-11-04,2.12
2012-11-05,3.0
2012-11-06,2.92
2012-11-07,2.08
2012-11-08,3.2800000000000002
2012-11-09,2.36
2012-11-10,3.8000000000000003
2012-11-11,1.56
2012-11-12,3.8000000000000003
2012-11-13,3.72
2012-11-14,3.2800000000000002
2012-11-15,2.04
2012-11-16,3.12
2012-11-17,2.7600000000000002
2012-11-18,2.7600000000000002
2012-11-19,1.8800000000000001
2012-11-20,3.0
2012-11-21,1.8800000000000001
2012-11-22,0.0
2012-11-23,0.92
2012-11-24,1.84
2012-11-25,2.08
2012-11-26,1.68
2012-11-27,2.56
2012-11-28,3.36
2012-11-29,4.0
2012-11-30,3.72
2012-12-01,0.8999999999999999
2012-12-02,1.3499999999999999
2012-12-03,2.2199999999999998
2012-12-04,1.3499999999999999
2012-12-05,2.01
2012-12-06,3.0
2012-12-07,2.55
2012-12-08,1.38
2012-12-09,1.56
2012-12-10,2.55
2012-12-11,1.47
2012-12-12,1.98
2012-12-13,0.9299999999999999
2012-12-14,1.92
2012-12-15,0.69
2012-12-16,1.6199999999999999
2012-12-17,1.89
2012-12-18,1.14
2012-12-19,1.17
2012-12-20,1.77
2012-12-21,2.16
2012-12-22,0.75
2012-12-23,0.75
2012-12-24,0.72
2012-12-25,0.8099999999999999
2012-12-26,1.29
2012-12-27,1.44
2012-12-28,1.68
2012-12-29,0.69
2012-12-30,1.74
2012-12-31,1.89
2013-01-01,1.28
2013-01-02,1.36
2013-01-03,2.48
2013-01-04,0.84
2013-01-05,1.16
2013-01-06,1.36
2013-01-07,2.0
2013-01-08,1.76
2013-01-09,1.96
2013-01-10,0.64
2013-01-11,1.16
2013-01-12,1.16
2013-01-13,1.16
2013-01-14,1.92
2013-01-15,1.76
2013-01-16,1.28
2013-01-17,1.28
2013-01-18,2.0
2013-01-19,0.8
2013-01-20,1.4000000000000001
2013-01-21,1.32
2013-01-22,1.72
2013-01-23,4.0
2013-01-24,1.76
2013-01-25,1.32
2013-01-26,1.44
2013-01-27,1.16
2013-01-28,1.72
2013-01-29,2.68
2013-01-30,1.8800000000000001
2013-01-31,1.8800000000000001
2013-02-01,2.36
2013-02-02,1.84
2013-02-03,0.92
2013-02-04,3.56
2013-02-05,2.52
2013-02-06,2.52
2013-02-07,2.8000000000000003
2013-02-08,2.6
2013-02-09,1.84
2013-02-10,1.4000000000000001
2013-02-11,1.48
2013-02-12,1.76
2013-02-13,3.0
2013-02-14,1.96
2013-02-15,3.0
2013-02-16,0.0
2013-02-17,1.8800000000000001
2013-02-18,2.36
2013-02-19,2.24
2013-02-20,2.0
2013-02-21,3.4
2013-02-22,2.08
