date,Walmart
2013-02-17,45.080000000000005
2013-02-18,39.56
2013-02-19,34.04
2013-02-20,34.5
2013-02-21,34.04
2013-02-22,36.800000000000004
2013-02-23,43.7
2013-02-24,43.24
2013-02-25,34.5
2013-02-26,34.5
2013-02-27,34.5
2013-02-28,34.96
2013-03-01,33.6
2013-03-02,40.32
2013-03-03,39.36
2013-03-04,31.68
2013-03-05,31.2
2013-03-06,29.759999999999998
2013-03-07,30.72
2013-03-08,31.68
2013-03-09,37.44
2013-03-10,38.879999999999995
2013-03-11,32.16
2013-03-12,31.2
2013-03-13,29.759999999999998
2013-03-14,30.72
2013-03-15,31.2
2013-03-16,37.44
2013-03-17,36.96
2013-03-18,31.68
2013-03-19,30.24
2013-03-20,29.279999999999998
2013-03-21,30.24
2013-03-22,31.68
2013-03-23,37.92
2013-03-24,37.44
2013-03-25,31.68
2013-03-26,31.2
2013-03-27,30.72
2013-03-28,31.68
2013-03-29,33.6
2013-03-30,38.4
2013-03-31,48.0
2013-04-01,40.02
2013-04-02,36.800000000000004
2013-04-03,35.88
2013-04-04,36.34
2013-04-05,38.18
2013-04-06,45.080000000000005
2013-04-07,46.0
2013-04-08,35.88
2013-04-09,35.88
2013-04-10,35.42
2013-04-11,35.88
2013-04-12,35.88
2013-04-13,44.620000000000005
2013-04-14,45.54
2013-04-15,35.42
2013-04-16,34.96
2013-04-17,35.42
2013-04-18,34.04
2013-04-19,34.5
2013-04-20,42.78
2013-04-21,44.160000000000004
2013-04-22,36.34
2013-04-23,35.42
2013-04-24,34.5
2013-04-25,35.42
2013-04-26,36.800000000000004
2013-04-27,44.160000000000004
2013-04-28,44.620000000000005
2013-04-29,37.260000000000005
2013-04-30,36.34
2013-05-01,35.04
2013-05-02,35.04
2013-05-03,36.48
2013-05-04,44.16
2013-05-05,45.6
2013-05-06,36.96
2013-05-07,35.04
2013-05-08,35.519999999999996
2013-05-09,35.519999999999996
2013-05-10,37.44
2013-05-11,45.12
2013-05-12,42.72
2013-05-13,36.48
2013-05-14,35.519999999999996
2013-05-15,35.04
2013-05-16,37.44
2013-05-17,37.44
2013-05-18,44.64
2013-05-19,44.64
2013-05-20,37.92
2013-05-21,35.04
2013-05-22,36.48
2013-05-23,37.92
2013-05-24,40.32
2013-05-25,48.0
2013-05-26,48.0
2013-05-27,46.559999999999995
2013-05-28,36.96
2013-05-29,37.44
2013-05-30,37.44
2013-05-31,40.8
2013-06-01,48.230000000000004
2013-06-02,48.760000000000005
2013-06-03,39.75
2013-06-04,38.160000000000004
2013-06-05,38.690000000000005
2013-06-06,38.160000000000004
2013-06-07,39.75
2013-06-08,47.17
2013-06-09,49.82
2013-06-10,40.81
2013-06-11,39.75
2013-06-12,39.75
2013-06-13,40.81
2013-06-14,43.99
2013-06-15,49.82
2013-06-16,47.7
2013-06-17,39.75
2013-06-18,39.22
2013-06-19,38.160000000000004
2013-06-20,40.28
2013-06-21,40.81
2013-06-22,47.7
2013-06-23,47.7
2013-06-24,41.870000000000005
2013-06-25,40.28
2013-06-26,39.22
2013-06-27,41.870000000000005
2013-06-28,42.93
2013-06-29,49.82
2013-06-30,53.0
2013-07-01,44.82
2013-07-02,44.82
2013-07-03,45.900000000000006
2013-07-04,54.0
2013-07-05,48.06
2013-07-06,50.220000000000006
2013-07-07,49.68000000000001
2013-07-08,42.660000000000004
2013-07-09,41.580000000000005
2013-07-10,41.040000000000006
2013-07-11,41.040000000000006
2013-07-12,42.120000000000005
2013-07-13,48.6
2013-07-14,48.06
2013-07-15,42.660000000000004
2013-07-16,40.5
2013-07-17,41.580000000000005
2013-07-18,42.120000000000005
2013-07-19,43.74
2013-07-20,49.14
2013-07-21,49.68000000000001
2013-07-22,41.580000000000005
2013-07-23,39.96
2013-07-24,39.96
2013-07-25,39.42
2013-07-26,42.120000000000005
2013-07-27,48.06
2013-07-28,49.14
2013-07-29,43.2
2013-07-30,41.040000000000006
2013-07-31,42.120000000000005
2013-08-01,42.400000000000006
2013-08-02,46.11
2013-08-03,51.410000000000004
2013-08-04,53.0
2013-08-05,45.050000000000004
2013-08-06,42.400000000000006
2013-08-07,41.870000000000005
2013-08-08,40.81
2013-08-09,45.050000000000004
2013-08-10,51.410000000000004
2013-08-11,51.940000000000005
2013-08-12,44.52
2013-08-13,41.870000000000005
2013-08-14,41.870000000000005
2013-08-15,42.93
2013-08-16,43.46
2013-08-17,49.29
2013-08-18,50.88
2013-08-19,42.400000000000006
2013-08-20,40.81
2013-08-21,40.28
2013-08-22,40.28
2013-08-23,42.400000000000006
2013-08-24,49.82
2013-08-25,49.29
2013-08-26,39.22
2013-08-27,39.75
2013-08-28,38.690000000000005
2013-08-29,38.690000000000005
2013-08-30,43.46
2013-08-31,50.35
2013-09-01,50.49
2013-09-02,51.0
2013-09-03,38.25
2013-09-04,37.230000000000004
2013-09-05,37.74
2013-09-06,38.76
2013-09-07,45.39
2013-09-08,44.88
2013-09-09,39.27
2013-09-10,36.72
2013-09-11,36.21
2013-09-12,37.230000000000004
2013-09-13,39.27
2013-09-14,47.43
2013-09-15,45.9
2013-09-16,37.74
2013-09-17,39.78
2013-09-18,37.230000000000004
2013-09-19,36.72
2013-09-20,40.29
2013-09-21,46.92
2013-09-22,45.39
2013-09-23,38.76
2013-09-24,37.230000000000004
2013-09-25,36.21
2013-09-26,36.21
2013-09-27,37.74
2013-09-28,45.39
2013-09-29,45.9
2013-09-30,37.74
2013-10-01,37.0
2013-10-02,37.5
2013-10-03,37.0
2013-10-04,38.5
2013-10-05,48.0
2013-10-06,47.0
2013-10-07,39.0
2013-10-08,38.5
2013-10-09,38.0
2013-10-10,38.5
2013-10-11,39.0
2013-10-12,48.0
2013-10-13,48.0
2013-10-14,42.0
2013-10-15,41.0
2013-10-16,39.0
2013-10-17,38.0
2013-10-18,41.0
2013-10-19,49.0
2013-10-20,49.0
2013-10-21,40.0
2013-10-22,39.5
2013-10-23,39.5
2013-10-24,41.0
2013-10-25,42.5
2013-10-26,50.0
2013-10-27,47.5
2013-10-28,39.0
2013-10-29,39.5
2013-10-30,40.5
2013-10-31,38.0
2013-11-01,19.09
2013-11-02,22.41
2013-11-03,22.41
2013-11-04,18.259999999999998
2013-11-05,18.259999999999998
2013-11-06,21.58
2013-11-07,19.09
2013-11-08,19.09
2013-11-09,23.24
2013-11-10,23.24
2013-11-11,20.75
2013-11-12,23.24
2013-11-13,23.24
2013-11-14,22.41
2013-11-15,24.9
2013-11-16,28.22
2013-11-17,27.389999999999997
2013-11-18,23.24
2013-11-19,24.07
2013-11-20,24.9
2013-11-21,26.56
2013-11-22,30.709999999999997
2013-11-23,34.03
2013-11-24,36.519999999999996
2013-11-25,34.03
2013-11-26,34.03
2013-11-27,41.5
2013-11-28,83.0
2013-11-29,83.0
2013-11-30,43.989999999999995
2013-12-01,47.879999999999995
2013-12-02,57.12
2013-12-03,40.32
2013-12-04,37.8
2013-12-05,34.44
2013-12-06,36.12
2013-12-07,42.0
2013-12-08,42.839999999999996
2013-12-09,34.44
2013-12-10,34.44
2013-12-11,34.44
2013-12-12,36.12
2013-12-13,37.8
2013-12-14,45.36
2013-12-15,46.199999999999996
2013-12-16,39.48
2013-12-17,36.96
2013-12-18,36.12
2013-12-19,37.8
2013-12-20,39.48
2013-12-21,47.879999999999995
2013-12-22,47.04
2013-12-23,44.519999999999996
2013-12-24,57.12
2013-12-25,84.0
2013-12-26,51.239999999999995
2013-12-27,36.96
2013-12-28,35.28
2013-12-29,32.76
2013-12-30,29.4
2013-12-31,29.4
2014-01-01,47.0
2014-01-02,38.07
2014-01-03,37.599999999999994
2014-01-04,42.3
2014-01-05,39.48
2014-01-06,31.959999999999997
2014-01-07,31.02
2014-01-08,30.549999999999997
2014-01-09,31.02
2014-01-10,31.49
2014-01-11,38.07
2014-01-12,38.07
2014-01-13,30.549999999999997
2014-01-14,29.61
2014-01-15,29.139999999999997
2014-01-16,29.139999999999997
2014-01-17,30.549999999999997
2014-01-18,38.07
2014-01-19,36.66
2014-01-20,32.9
2014-01-21,28.2
2014-01-22,28.2
2014-01-23,28.669999999999998
2014-01-24,30.549999999999997
2014-01-25,36.66
2014-01-26,36.19
2014-01-27,29.139999999999997
2014-01-28,28.2
2014-01-29,28.669999999999998
2014-01-30,28.669999999999998
2014-01-31,31.02
2014-02-01,44.64
2014-02-02,41.28
2014-02-03,33.12
2014-02-04,34.08
2014-02-05,33.12
2014-02-06,35.04
2014-02-07,37.92
2014-02-08,46.559999999999995
2014-02-09,47.519999999999996
2014-02-10,39.36
2014-02-11,38.879999999999995
2014-02-12,40.32
2014-02-13,40.8
2014-02-14,41.28
2014-02-15,47.04
2014-02-16,48.0
2014-02-17,41.28
2014-02-18,36.48
2014-02-19,36.0
2014-02-20,36.96
2014-02-21,37.44
2014-02-22,47.519999999999996
2014-02-23,46.559999999999995
2014-02-24,37.44
2014-02-25,36.96
2014-02-26,36.96
2014-02-27,36.48
2014-02-28,40.32
2014-03-01,48.0
2014-03-02,46.08
2014-03-03,36.0
2014-03-04,36.0
2014-03-05,35.519999999999996
2014-03-06,36.48
2014-03-07,37.92
2014-03-08,46.08
2014-03-09,46.559999999999995
2014-03-10,37.44
2014-03-11,36.48
2014-03-12,35.04
2014-03-13,36.48
2014-03-14,37.44
2014-03-15,43.68
2014-03-16,46.08
2014-03-17,35.519999999999996
2014-03-18,36.96
2014-03-19,36.0
2014-03-20,35.04
2014-03-21,37.92
2014-03-22,44.64
2014-03-23,46.559999999999995
2014-03-24,37.92
