date,Amazon
2013-12-17,49.6
2013-12-18,48.0
2013-12-19,46.400000000000006
2013-12-20,45.6
2013-12-21,48.0
2013-12-22,44.800000000000004
2013-12-23,41.6
2013-12-24,41.6
2013-12-25,52.0
2013-12-26,54.400000000000006
2013-12-27,47.2
2013-12-28,45.6
2013-12-29,44.800000000000004
2013-12-30,40.800000000000004
2013-12-31,39.2
2014-01-01,51.7
2014-01-02,52.800000000000004
2014-01-03,52.800000000000004
2014-01-04,54.45
2014-01-05,55.00000000000001
2014-01-06,48.95
2014-01-07,48.95
2014-01-08,48.400000000000006
2014-01-09,48.400000000000006
2014-01-10,46.2
2014-01-11,51.150000000000006
2014-01-12,51.7
2014-01-13,47.300000000000004
2014-01-14,45.650000000000006
2014-01-15,45.650000000000006
2014-01-16,44.550000000000004
2014-01-17,44.0
2014-01-18,47.85
2014-01-19,51.7
2014-01-20,47.300000000000004
2014-01-21,45.1
2014-01-22,45.1
2014-01-23,43.45
2014-01-24,42.35
2014-01-25,49.50000000000001
2014-01-26,48.95
2014-01-27,42.900000000000006
2014-01-28,43.45
2014-01-29,41.800000000000004
2014-01-30,42.35
2014-01-31,40.150000000000006
2014-02-01,47.5
2014-02-02,46.0
2014-02-03,40.5
2014-02-04,42.5
2014-02-05,43.0
2014-02-06,40.0
2014-02-07,40.5
2014-02-08,46.5
2014-02-09,49.0
2014-02-10,43.5
2014-02-11,42.5
2014-02-12,42.5
2014-02-13,43.0
2014-02-14,39.5
2014-02-15,47.5
2014-02-16,50.0
2014-02-17,46.0
2014-02-18,42.0
2014-02-19,41.0
2014-02-20,40.5
2014-02-21,40.5
2014-02-22,46.5
2014-02-23,49.5
2014-02-24,43.0
2014-02-25,41.5
2014-02-26,42.0
2014-02-27,42.0
2014-02-28,41.0
2014-03-01,47.5
2014-03-02,49.5
2014-03-03,42.5
