date,Adobe
2012-08-28,86.0
2012-08-29,77.4
2012-08-30,82.56
2012-08-31,79.12
2012-09-01,61.56
2012-09-02,61.56
2012-09-03,67.23
2012-09-04,72.9
2012-09-05,80.19000000000001
2012-09-06,81.0
2012-09-07,73.71000000000001
2012-09-08,64.80000000000001
2012-09-09,63.99
2012-09-10,79.38000000000001
2012-09-11,76.14
2012-09-12,81.0
2012-09-13,73.71000000000001
2012-09-14,71.28
2012-09-15,60.75000000000001
2012-09-16,59.13
2012-09-17,71.28
2012-09-18,75.33
2012-09-19,80.19000000000001
2012-09-20,76.14
2012-09-21,72.09
2012-09-22,66.42
2012-09-23,56.7
2012-09-24,75.33
2012-09-25,75.33
2012-09-26,78.57000000000001
2012-09-27,75.33
2012-09-28,72.09
2012-09-29,59.13
2012-09-30,59.940000000000005
2012-10-01,64.6
2012-10-02,76.0
2012-10-03,72.2
2012-10-04,68.4
2012-10-05,67.64
2012-10-06,56.24
2012-10-07,55.480000000000004
2012-10-08,67.64
2012-10-09,73.72
2012-10-10,72.2
2012-10-11,72.96000000000001
2012-10-12,62.32
2012-10-13,55.480000000000004
2012-10-14,53.96
2012-10-15,69.16
2012-10-16,69.16
2012-10-17,66.12
2012-10-18,70.68
2012-10-19,65.36
2012-10-20,54.72
2012-10-21,54.72
2012-10-22,66.88
2012-10-23,65.36
2012-10-24,65.36
2012-10-25,65.36
2012-10-26,60.8
2012-10-27,50.160000000000004
2012-10-28,50.92
2012-10-29,62.32
2012-10-30,60.04
2012-10-31,63.84
2012-11-01,67.34
2012-11-02,61.42
2012-11-03,54.76
2012-11-04,54.019999999999996
2012-11-05,61.42
2012-11-06,62.9
2012-11-07,57.72
2012-11-08,67.34
2012-11-09,68.08
2012-11-10,59.94
2012-11-11,58.46
2012-11-12,68.08
2012-11-13,71.03999999999999
2012-11-14,71.78
2012-11-15,71.78
2012-11-16,68.08
2012-11-17,56.98
2012-11-18,56.98
2012-11-19,62.16
2012-11-20,68.82
2012-11-21,63.64
2012-11-22,54.76
2012-11-23,57.72
2012-11-24,59.94
2012-11-25,56.24
2012-11-26,66.6
2012-11-27,68.82
2012-11-28,74.0
2012-11-29,71.78
2012-11-30,70.3
2012-12-01,61.42
2012-12-02,62.9
2012-12-03,68.82
2012-12-04,71.78
2012-12-05,68.08
2012-12-06,74.0
2012-12-07,73.26
2012-12-08,59.2
2012-12-09,55.5
2012-12-10,67.34
2012-12-11,71.78
2012-12-12,71.03999999999999
2012-12-13,72.52
2012-12-14,62.9
2012-12-15,56.98
2012-12-16,57.72
2012-12-17,68.82
2012-12-18,67.34
2012-12-19,68.08
2012-12-20,68.08
2012-12-21,58.46
2012-12-22,54.76
2012-12-23,53.28
2012-12-24,51.8
2012-12-25,68.08
2012-12-26,72.52
2012-12-27,69.56
2012-12-28,67.34
2012-12-29,63.64
2012-12-30,63.64
2012-12-31,61.42
2013-01-01,51.66
2013-01-02,64.78
2013-01-03,69.7
2013-01-04,69.7
2013-01-05,52.48
2013-01-06,56.58
2013-01-07,76.25999999999999
2013-01-08,81.17999999999999
2013-01-09,77.89999999999999
2013-01-10,82.0
2013-01-11,72.97999999999999
2013-01-12,63.959999999999994
2013-01-13,61.49999999999999
2013-01-14,68.06
2013-01-15,77.89999999999999
2013-01-16,70.52
2013-01-17,70.52
2013-01-18,74.61999999999999
2013-01-19,59.86
2013-01-20,61.49999999999999
2013-01-21,65.6
2013-01-22,62.31999999999999
2013-01-23,69.7
2013-01-24,70.52
2013-01-25,68.88
2013-01-26,61.49999999999999
2013-01-27,57.4
2013-01-28,63.959999999999994
2013-01-29,67.24
2013-01-30,76.25999999999999
2013-01-31,72.16
2013-02-01,76.5
2013-02-02,64.6
2013-02-03,63.75
2013-02-04,68.0
2013-02-05,76.5
2013-02-06,73.1
2013-02-07,73.1
2013-02-08,80.75
2013-02-09,68.0
2013-02-10,69.7
2013-02-11,70.55
2013-02-12,79.05
2013-02-13,81.6
2013-02-14,79.05
2013-02-15,73.1
2013-02-16,67.14999999999999
2013-02-17,62.9
2013-02-18,73.1
2013-02-19,77.35
2013-02-20,76.5
2013-02-21,76.5
2013-02-22,73.1
2013-02-23,73.95
2013-02-24,68.0
2013-02-25,77.35
2013-02-26,84.14999999999999
2013-02-27,85.0
2013-02-28,81.6
2013-03-01,81.0
2013-03-02,70.47
2013-03-03,71.28
2013-03-04,75.33
2013-03-05,75.33
2013-03-06,78.57000000000001
2013-03-07,76.95
2013-03-08,72.9
2013-03-09,67.23
2013-03-10,62.370000000000005
2013-03-11,69.66000000000001
2013-03-12,76.14
2013-03-13,78.57000000000001
2013-03-14,72.9
2013-03-15,68.85000000000001
2013-03-16,59.13
2013-03-17,65.61
2013-03-18,68.85000000000001
2013-03-19,77.76
2013-03-20,75.33
2013-03-21,72.09
2013-03-22,71.28
2013-03-23,59.940000000000005
2013-03-24,58.32000000000001
2013-03-25,71.28
2013-03-26,75.33
2013-03-27,68.04
2013-03-28,69.66000000000001
2013-03-29,68.85000000000001
2013-03-30,53.46
2013-03-31,55.080000000000005
2013-04-01,65.36
2013-04-02,67.64
2013-04-03,69.16
2013-04-04,68.4
2013-04-05,63.08
2013-04-06,54.72
2013-04-07,56.24
2013-04-08,66.12
2013-04-09,72.96000000000001
2013-04-10,76.0
2013-04-11,72.96000000000001
2013-04-12,70.68
2013-04-13,59.28
2013-04-14,65.36
2013-04-15,69.92
2013-04-16,73.72
2013-04-17,72.2
2013-04-18,67.64
2013-04-19,65.36
2013-04-20,57.0
2013-04-21,59.28
2013-04-22,69.92
2013-04-23,67.64
2013-04-24,66.88
2013-04-25,66.88
2013-04-26,61.56
2013-04-27,50.160000000000004
2013-04-28,57.0
2013-04-29,67.64
2013-04-30,65.36
2013-05-01,65.45
2013-05-02,60.06
2013-05-03,63.14
2013-05-04,56.21
2013-05-05,50.050000000000004
2013-05-06,68.53
2013-05-07,77.0
2013-05-08,70.07000000000001
2013-05-09,67.76
2013-05-10,72.38
2013-05-11,53.13
2013-05-12,56.980000000000004
2013-05-13,67.76
2013-05-14,72.38
2013-05-15,72.38
2013-05-16,73.92
2013-05-17,65.45
2013-05-18,49.28
2013-05-19,55.44
2013-05-20,63.910000000000004
2013-05-21,62.370000000000005
2013-05-22,66.99
2013-05-23,60.06
2013-05-24,63.910000000000004
2013-05-25,53.9
2013-05-26,48.51
2013-05-27,47.74
2013-05-28,60.06
2013-05-29,67.76
2013-05-30,65.45
2013-05-31,66.22
2013-06-01,51.099999999999994
2013-06-02,46.9
2013-06-03,65.1
