date,CocaCola
2012-09-28,31.720000000000002
2012-09-29,28.6
2012-09-30,18.72
2012-10-01,23.76
2012-10-02,23.220000000000002
2012-10-03,43.2
2012-10-04,15.66
2012-10-05,20.520000000000003
2012-10-06,9.72
2012-10-07,29.160000000000004
2012-10-08,23.76
2012-10-09,54.0
2012-10-10,42.660000000000004
2012-10-11,43.2
2012-10-12,11.88
2012-10-13,19.44
2012-10-14,18.900000000000002
2012-10-15,34.02
2012-10-16,22.68
2012-10-17,27.0
2012-10-18,30.78
2012-10-19,32.400000000000006
2012-10-20,34.56
2012-10-21,38.88
2012-10-22,26.46
2012-10-23,18.900000000000002
2012-10-24,7.5600000000000005
2012-10-25,27.0
2012-10-26,15.66
2012-10-27,19.44
2012-10-28,23.220000000000002
2012-10-29,37.260000000000005
2012-10-30,11.34
2012-10-31,15.66
2012-11-01,34.769999999999996
2012-11-02,61.0
2012-11-03,48.19
2012-11-04,39.04
2012-11-05,48.19
2012-11-06,34.16
2012-11-07,38.43
2012-11-08,32.33
2012-11-09,43.92
2012-11-10,53.07
2012-11-11,28.06
2012-11-12,26.23
2012-11-13,38.43
2012-11-14,32.33
2012-11-15,35.99
2012-11-16,33.55
2012-11-17,23.79
2012-11-18,27.45
2012-11-19,22.57
2012-11-20,32.33
2012-11-21,28.06
2012-11-22,49.41
2012-11-23,11.59
2012-11-24,23.79
2012-11-25,31.11
2012-11-26,30.5
2012-11-27,35.99
2012-11-28,31.11
2012-11-29,36.6
2012-11-30,32.33
2012-12-01,33.28
2012-12-02,26.52
2012-12-03,37.44
2012-12-04,23.92
2012-12-05,29.64
2012-12-06,52.0
2012-12-07,40.04
2012-12-08,33.800000000000004
2012-12-09,39.52
2012-12-10,34.32
2012-12-11,23.92
2012-12-12,21.84
2012-12-13,32.76
2012-12-14,19.76
2012-12-15,16.64
2012-12-16,33.800000000000004
2012-12-17,29.12
2012-12-18,19.240000000000002
2012-12-19,22.36
2012-12-20,29.12
2012-12-21,35.88
2012-12-22,32.24
2012-12-23,21.84
2012-12-24,31.720000000000002
2012-12-25,19.76
2012-12-26,37.96
2012-12-27,20.8
2012-12-28,21.32
2012-12-29,13.52
2012-12-30,41.08
2012-12-31,27.560000000000002
2013-01-01,12.9
2013-01-02,12.47
2013-01-03,24.509999999999998
2013-01-04,12.47
2013-01-05,10.75
2013-01-06,43.0
2013-01-07,12.04
2013-01-08,15.91
2013-01-09,12.04
2013-01-10,12.04
2013-01-11,18.49
2013-01-12,9.459999999999999
2013-01-13,14.19
2013-01-14,9.89
2013-01-15,23.22
2013-01-16,19.78
2013-01-17,19.78
2013-01-18,18.49
2013-01-19,21.93
2013-01-20,7.31
2013-01-21,12.47
2013-01-22,19.35
2013-01-23,21.5
2013-01-24,15.91
2013-01-25,30.099999999999998
2013-01-26,14.19
2013-01-27,14.19
2013-01-28,33.11
2013-01-29,19.35
2013-01-30,11.61
2013-01-31,23.22
2013-02-01,34.980000000000004
2013-02-02,37.63
2013-02-03,13.25
2013-02-04,48.230000000000004
2013-02-05,24.91
